time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,Daily_Open,Daily_Close,MA №1,MA №2,MA №3,MA №4
2024-08-02T00:51:00-04:00,2186.7,2186.7,2185.5,2185.9,2191.646264,2196.695046,2186.597481,2195.9,2198.1,2186.63787,NaN,NaN,2188.65619
2024-08-02T00:52:00-04:00,2185.8,2186,2185.6,2185.9,2191.633235,2196.683842,2186.582627,2195.9,2198.1,2186.490296,NaN,NaN,2188.64381
2024-08-02T00:53:00-04:00,2186.1,2186.3,2185.7,2186,2191.624662,2196.6762,2186.573124,2195.9,2198.1,2186.392237,NaN,NaN,2188.626667
2024-08-02T00:54:00-04:00,2186,2186,2185,2186,2191.592832,2196.649544,2186.53612,2195.9,2198.1,2186.31379,NaN,NaN,2188.602857
2024-08-02T00:55:00-04:00,2185.8,2186.4,2185.7,2186.4,2191.586559,2196.64371,2186.529408,2195.9,2198.1,2186.331032,NaN,NaN,2188.577143
2024-08-02T00:56:00-04:00,2186.4,2186.4,2185.7,2185.8,2191.580069,2196.637901,2186.522236,2195.9,2198.1,2186.224825,NaN,NaN,2188.549524
2024-08-02T00:57:00-04:00,2185.7,2186.3,2185.7,2186.3,2191.578122,2196.636111,2186.520133,2195.9,2198.1,2186.23986,NaN,NaN,2188.53619
2024-08-02T00:58:00-04:00,2186.6,2186.8,2185.1,2185.7,2191.514427,2196.579768,2186.449087,2195.9,2198.1,2186.131888,NaN,NaN,2188.51619
2024-08-02T00:59:00-04:00,2185.6,2186.2,2184.9,2186.2,2191.485802,2196.554688,2186.416916,2195.9,2198.1,2186.145511,NaN,NaN,2188.498095
2024-08-02T01:00:00-04:00,2186.4,2186.8,2185.8,2185.8,2191.472739,2196.542319,2186.403158,2195.9,2198.1,2186.076408,NaN,NaN,2188.485714
2024-08-02T01:01:00-04:00,2186.1,2186.8,2185.9,2186.7,2191.467508,2196.53702,2186.397996,2195.9,2198.1,2186.201127,NaN,NaN,2188.482857
2024-08-02T01:02:00-04:00,2186.3,2186.5,2186,2186.2,2191.460227,2196.529966,2186.390487,2195.9,2198.1,2186.200901,NaN,NaN,2188.48
2024-08-02T01:03:00-04:00,2186.2,2186.5,2185.8,2185.8,2191.450336,2196.520739,2186.379932,2195.9,2198.1,2186.120721,NaN,NaN,2188.468571
2024-08-02T01:04:00-04:00,2186.1,2186.4,2186,2186.4,2191.444942,2196.515462,2186.374422,2195.9,2198.1,2186.176577,NaN,NaN,2188.46381
2024-08-02T01:05:00-04:00,2186.4,2186.8,2186.4,2186.8,2191.440803,2196.511076,2186.370531,2195.9,2198.1,2186.301262,NaN,NaN,2188.468571
2024-08-02T01:06:00-04:00,2187.1,2187.1,2186.6,2187,2191.437266,2196.507146,2186.367386,2195.9,2198.1,2186.441009,NaN,NaN,2188.471429
2024-08-02T01:07:00-04:00,2187.1,2188.2,2187.1,2188.2,2191.434461,2196.503364,2186.365557,2195.9,2198.1,2186.792807,NaN,NaN,2188.480952
2024-08-02T01:08:00-04:00,2188.1,2188.9,2188.1,2188.6,2191.428451,2196.493819,2186.363083,2195.9,2198.1,2187.154246,NaN,NaN,2188.492381
2024-08-02T01:09:00-04:00,2188.7,2188.7,2188.6,2188.7,2191.427498,2196.492252,2186.362744,2195.9,2198.1,2187.463397,NaN,NaN,2188.5
2024-08-02T01:10:00-04:00,2188.7,2188.7,2187.9,2187.9,2191.424968,2196.48857,2186.361365,2195.9,2198.1,2187.550717,NaN,NaN,2188.501905
2024-08-02T01:11:00-04:00,2188,2188.8,2188,2188.2,2191.421506,2196.48333,2186.359683,2195.9,2198.1,2187.680574,NaN,NaN,2188.505714
2024-08-02T01:12:00-04:00,2188.4,2188.4,2187.5,2187.7,2191.417226,2196.477502,2186.356949,2195.9,2198.1,2187.684459,NaN,NaN,2188.513333
2024-08-02T01:13:00-04:00,2187.4,2187.5,2187,2187.1,2191.412153,2196.471498,2186.352809,2195.9,2198.1,2187.567567,NaN,NaN,2188.518095
2024-08-02T01:14:00-04:00,2187.2,2187.6,2186.9,2187.6,2191.4066,2196.464689,2186.348511,2195.9,2198.1,2187.574054,NaN,NaN,2188.522857
2024-08-02T01:15:00-04:00,2187.7,2188.2,2187.7,2187.8,2191.402394,2196.458905,2186.345882,2195.9,2198.1,2187.619243,NaN,NaN,2188.537143
2024-08-02T01:16:00-04:00,2188,2189,2188,2188.7,2191.398269,2196.452257,2186.344281,2195.9,2198.1,2187.835394,NaN,NaN,2188.56381
2024-08-02T01:17:00-04:00,2188.6,2188.7,2188.2,2188.7,2191.395575,2196.447949,2186.3432,2195.9,2198.1,2188.008316,NaN,NaN,2188.586667
2024-08-02T01:18:00-04:00,2189,2189.3,2189,2189.3,2191.394449,2196.445773,2186.343126,2195.9,2198.1,2188.266652,NaN,NaN,2188.607619
2024-08-02T01:19:00-04:00,2188.9,2189,2188.4,2188.4,2191.393256,2196.443831,2186.342681,2195.9,2198.1,2188.293322,NaN,NaN,2188.610476
2024-08-02T01:20:00-04:00,2188,2188,2187.9,2188,2191.392086,2196.442195,2186.341976,2195.9,2198.1,2188.234658,NaN,NaN,2188.598095
2024-08-02T01:21:00-04:00,2187.9,2187.9,2187.1,2187.2,2191.38698,2196.435875,2186.338085,2195.9,2198.1,2188.027726,NaN,NaN,2188.56
2024-08-02T01:22:00-04:00,2187.4,2188,2187.4,2188,2191.369025,2196.411626,2186.326424,2195.9,2198.1,2188.022181,NaN,NaN,2188.527619
2024-08-02T01:23:00-04:00,2188,2188,2188,2188,2191.368168,2196.410414,2186.325922,2195.9,2198.1,2188.017745,NaN,NaN,2188.488571
2024-08-02T01:24:00-04:00,2188,2188.2,2188,2188.2,2191.359412,2196.397633,2186.321191,2195.9,2198.1,2188.054196,NaN,NaN,2188.45619
2024-08-02T01:25:00-04:00,2188.3,2188.9,2188,2188.9,2191.356381,2196.392664,2186.320098,2195.9,2198.1,2188.223357,NaN,NaN,2188.428571
2024-08-02T01:26:00-04:00,2189,2189.3,2188.6,2189.3,2191.341962,2196.365629,2186.318295,2195.9,2198.1,2188.438685,NaN,NaN,2188.411429
2024-08-02T01:27:00-04:00,2189.3,2189.5,2189,2189.5,2191.332562,2196.346334,2186.318789,2195.9,2198.1,2188.650948,NaN,NaN,2188.394286
2024-08-02T01:28:00-04:00,2189.2,2189.5,2189.2,2189.5,2191.331916,2196.344975,2186.318857,2195.9,2198.1,2188.820759,NaN,NaN,2188.392381
2024-08-02T01:29:00-04:00,2189.6,2190.7,2189.6,2190.7,2191.331166,2196.342416,2186.319915,2195.9,2198.1,2189.196607,NaN,NaN,2188.392381
2024-08-02T01:30:00-04:00,2190.8,2190.9,2190.4,2190.7,2191.33039,2196.338766,2186.322014,2195.9,2198.1,2189.497285,NaN,NaN,2188.397143
2024-08-02T01:31:00-04:00,2190.4,2190.4,2189.1,2189.1,2191.329641,2196.337107,2186.322175,2195.9,2198.1,2189.417828,NaN,NaN,2188.39619
2024-08-02T01:32:00-04:00,2188.8,2188.8,2187.5,2187.5,2191.324271,2196.329597,2186.318946,2195.9,2198.1,2189.034263,NaN,NaN,2188.380952
2024-08-02T01:33:00-04:00,2187.7,2188.4,2187.6,2188.4,2191.31844,2196.321047,2186.315833,2195.9,2198.1,2188.90741,NaN,NaN,2188.379048
2024-08-02T01:34:00-04:00,2188.5,2188.5,2188.1,2188.2,2191.315401,2196.316443,2186.314359,2195.9,2198.1,2188.765928,NaN,NaN,2188.380952
2024-08-02T01:35:00-04:00,2188,2188,2187.3,2187.3,2191.311952,2196.312016,2186.311888,2195.9,2198.1,2188.472743,NaN,NaN,2188.362857
